,name,top1,top5
0,"(3,5,11)",0.68364,0.88246
1,"(0,2,8)",0.6783,0.87836
2,"(8,10,13)",0.68384,0.88178
3,"(5,13,14)",0.6836,0.88254
4,"(7,8,13)",0.68332,0.88212
5,"(6,9,10)",0.68372,0.88128
6,"(6,7,9)",0.68346,0.88162
7,"(0,4,9)",0.67916,0.8787
8,"(2,6,8)",0.68314,0.88144
9,"(2,8,12)",0.68432,0.88112
10,"(0,4,14)",0.67996,0.87944
11,"(8,11,14)",0.68372,0.88308
12,"(6,11,13)",0.68322,0.88254
13,"(2,3,10)",0.6835,0.88158
14,"(6,8,10)",0.68292,0.88188
15,"(0,1,6)",0.67648,0.87692
16,"(3,8,9)",0.68336,0.8822
17,"(1,10,13)",0.68364,0.8808
18,"(3,7,10)",0.68362,0.8817
19,"(0,2,12)",0.67796,0.8779
20,"(5,11,12)",0.6848,0.8821
21,"(2,5,9)",0.68372,0.88148
22,"(1,12,13)",0.683,0.88124
23,"(1,2,9)",0.6826,0.88132
24,"(2,3,4)",0.68248,0.8816
25,"(0,5,8)",0.68032,0.87954
26,"(0,2,5)",0.67854,0.87814
27,"(1,3,7)",0.68226,0.88182
28,"(5,8,13)",0.684,0.88254
29,"(0,3,13)",0.67842,0.8789
30,"(6,12,13)",0.68356,0.88158
31,"(0,2,14)",0.67832,0.87796
32,"(4,10,12)",0.68326,0.88182
33,"(6,7,11)",0.6832,0.88214
34,"(1,4,10)",0.6825,0.88136
35,"(8,9,10)",0.68362,0.88226
36,"(0,5,14)",0.67894,0.87918
37,"(3,4,13)",0.6829,0.882
38,"(0,8,9)",0.67972,0.87884
39,"(5,7,14)",0.68378,0.88268
40,"(1,7,12)",0.68298,0.8811
41,"(4,6,7)",0.68278,0.88166
42,"(0,6,11)",0.67954,0.87914
43,"(5,7,8)",0.68434,0.88234
44,"(2,3,14)",0.68336,0.88186
45,"(7,9,12)",0.68336,0.8816
46,"(7,10,12)",0.68348,0.8814
47,"(4,11,13)",0.68392,0.88234
48,"(7,10,11)",0.6834,0.88214
49,"(7,9,10)",0.68402,0.88164
50,"(5,6,9)",0.6835,0.88202
51,"(5,9,11)",0.68416,0.8822
52,"(5,7,9)",0.68378,0.88208
53,"(0,3,14)",0.6792,0.87856
54,"(2,4,11)",0.6838,0.8817
55,"(0,7,8)",0.68044,0.87936
56,"(1,2,5)",0.68286,0.88138
57,"(7,11,14)",0.68384,0.88202
58,"(1,11,13)",0.68364,0.88184
59,"(2,11,13)",0.68414,0.88204
60,"(1,5,7)",0.68278,0.88136
61,"(0,12,14)",0.67936,0.87882
62,"(1,8,14)",0.6824,0.88236
63,"(4,10,14)",0.68338,0.88152
64,"(1,4,14)",0.6828,0.88184
65,"(7,8,14)",0.68388,0.88226
66,"(6,8,9)",0.68378,0.88212
67,"(11,12,13)",0.68446,0.88202
68,"(0,6,10)",0.67944,0.87852
69,"(1,6,8)",0.6825,0.88198
70,"(1,8,13)",0.68272,0.88232
71,"(4,9,13)",0.68322,0.8815
72,"(3,10,12)",0.68296,0.88212
73,"(8,10,11)",0.68396,0.88266
74,"(0,1,13)",0.6766,0.87718
75,"(2,6,10)",0.68346,0.881
76,"(0,7,14)",0.67954,0.87876
77,"(5,6,7)",0.6841,0.88216
78,"(5,7,13)",0.68388,0.88218
79,"(4,6,13)",0.68328,0.88156
80,"(4,6,11)",0.68362,0.88216
81,"(3,4,14)",0.68314,0.88204
82,"(0,1,5)",0.67746,0.87756
83,"(0,3,4)",0.67858,0.87886
84,"(3,4,10)",0.68342,0.882
85,"(0,1,12)",0.67686,0.87688
86,"(2,5,8)",0.68414,0.8818
87,"(1,2,7)",0.6825,0.88096
88,"(1,5,8)",0.68278,0.88228
89,"(2,6,14)",0.68318,0.8813
90,"(9,11,12)",0.68406,0.88216
91,"(4,7,12)",0.68396,0.88154
92,"(6,10,12)",0.68344,0.8813
93,"(4,6,9)",0.68346,0.88158
94,"(2,8,11)",0.68416,0.88174
95,"(2,9,11)",0.68394,0.8815
96,"(1,3,4)",0.6819,0.8817
97,"(3,6,12)",0.68286,0.88236
98,"(0,6,9)",0.67924,0.87808
99,"(0,5,11)",0.67964,0.87922
100,"(1,2,6)",0.68218,0.88092
101,"(4,5,12)",0.68376,0.882
102,"(2,5,13)",0.68404,0.88124
103,"(0,9,13)",0.67866,0.87852
104,"(3,4,11)",0.68348,0.88228
105,"(0,6,14)",0.67948,0.8784
106,"(0,3,7)",0.67912,0.87868
107,"(3,5,14)",0.68304,0.88224
108,"(3,11,13)",0.68338,0.8822
109,"(2,4,12)",0.6839,0.8813
110,"(5,11,13)",0.68468,0.88226
111,"(0,3,11)",0.67984,0.87852
112,"(1,3,6)",0.6814,0.88162
113,"(0,1,4)",0.67648,0.87672
114,"(1,3,10)",0.68192,0.88166
115,"(3,4,6)",0.68258,0.88224
116,"(2,7,8)",0.68356,0.88122
117,"(2,13,14)",0.68332,0.88164
118,"(2,8,9)",0.68374,0.8813
119,"(0,4,11)",0.6795,0.87908
120,"(1,3,13)",0.682,0.8819
121,"(0,9,12)",0.67918,0.87792
122,"(1,6,11)",0.68326,0.88166
123,"(4,8,11)",0.68386,0.8823
124,"(2,5,11)",0.68422,0.8817
125,"(2,4,6)",0.68246,0.88132
126,"(3,6,8)",0.68294,0.88218
127,"(6,13,14)",0.6832,0.88206
128,"(5,9,12)",0.68424,0.88224
129,"(4,7,8)",0.68366,0.8823
130,"(7,8,12)",0.68382,0.88178
131,"(6,11,14)",0.68376,0.88188
132,"(3,4,5)",0.68324,0.88188
133,"(4,13,14)",0.68308,0.88218
134,"(9,10,12)",0.68324,0.88144
135,"(0,3,6)",0.67874,0.8786
136,"(3,7,8)",0.68294,0.88204
137,"(1,6,9)",0.68264,0.88138
138,"(1,2,13)",0.68248,0.8812
139,"(5,8,11)",0.68448,0.88272
140,"(6,9,13)",0.68322,0.88178
141,"(1,9,10)",0.68292,0.88084
142,"(2,9,10)",0.68366,0.88078
143,"(1,10,12)",0.6832,0.88104
144,"(0,2,6)",0.678,0.87784
145,"(8,13,14)",0.68346,0.8826
146,"(7,9,11)",0.6842,0.88206
147,"(0,1,3)",0.67632,0.87704
148,"(8,9,12)",0.68386,0.88198
149,"(3,10,14)",0.68314,0.88212
150,"(4,9,14)",0.68392,0.88206
151,"(3,6,9)",0.68248,0.88198
152,"(4,10,11)",0.68382,0.88158
153,"(2,7,11)",0.68366,0.88168
154,"(4,5,11)",0.68354,0.88222
155,"(0,10,13)",0.67946,0.87892
