n01737021,n01751748,n01697457,n01729322,n01665541,0,1
n04228054,n09193705,n04208210,n03218198,n04507155,0,1
n02105855,n02106030,n02106166,n02086910,n02113023,1,1
n04263257,n03775546,n03063599,n07613480,n07932039,1,1
n03131574,n02804414,n03125729,n02808304,n04399382,0,1
n01755581,n01740131,n01728572,n01737021,n01729322,0,0
n02346627,n02363005,n02444819,n02447366,n01872401,1,1
n02808304,n03938244,n04254777,n04599235,n04120489,0,0
n02843684,n01688243,n01534433,n01532829,n02487347,0,0
n02112018,n02086079,n02085936,n02123394,n02085620,0,0
n01917289,n02655020,n07754684,n02319095,n09256479,1,1
n02125311,n02124075,n02129165,n02123159,n02128925,1,1
n02484975,n02486261,n02488702,n02488291,n02487347,1,1
n04065272,n03769881,n03977966,n02701002,n03796401,1,1
n03496892,n04467665,n04067472,n04428191,n04557648,1,1
n02066245,n01665541,n01484850,n09472597,n02398521,1,1
n03325584,n04033901,n01632777,n01774750,n09472597,0,0
n01608432,n01616318,n01824575,n02442845,n01614925,0,1
n02971356,n02840245,n03179701,n03014705,n03127925,1,1
n03126707,n04141076,n02999410,n04026417,n03976657,1,1
n02346627,n02497673,n02493509,n02363005,n02490219,1,1
n02110063,n02091244,n02091134,n02110958,n03868242,0,1
n07742313,n07753113,n07720875,n03935335,n07760859,1,1
n03956157,n03788195,n03220513,n01440764,n03775546,1,1
n01616318,n01795545,n01807496,n01797886,n01824575,1,1
n04380533,n03388549,n03982430,n03452741,n03637318,1,1
n02114548,n02120079,n02114367,n02134084,n01440764,1,1
n02089867,n02089973,n02088364,n02088238,n02113186,0,1
n01749939,n01729977,n01739381,n01740131,n07716358,0,1
n03930313,n02843684,n03924679,n04435653,n02825657,0,1
n02280649,n02281406,n02206856,n03991062,n11939491,1,1
n03444034,n02704792,n04037443,n04285008,n03100240,1,1
n02444819,n02363005,n02098105,n02085936,n02361337,0,0
n04239074,n04507155,n04371774,n02791270,n04005630,0,0
n03478589,n04389033,n02704792,n04428191,n03496892,1,1
n04532106,n04429376,n02895154,n03617480,n03980874,1,1
n01632777,n01945685,n01630670,n01534433,n01873310,0,0
n02666196,n12144580,n03908618,n03871628,n07615774,1,1
n02916936,n03527444,n04141327,n03709823,n02910353,0,1
n02206856,n02219486,n01773797,n01776313,n01773549,0,1
n03188531,n03887697,n02110958,n03992509,n03868863,0,0
n04049303,n04501370,n03924679,n02747177,n02788148,1,1
n02006656,n02012849,n02007558,n03788365,n03788195,1,1
n02097209,n02097047,n02095570,n02095314,n02090721,1,1
n02111277,n02106382,n02110627,n02097130,n02092002,1,1
n04560804,n03063689,n04398044,n03584829,n03950228,0,1
n03393912,n04380533,n03868863,n03179701,n03180011,1,1
n02089867,n02088364,n02088238,n02089973,n02090379,0,1
n04285008,n02930766,n02974003,n03930630,n04037443,0,1
n03404251,n04141327,n04599235,n03980874,n04325704,0,0
n01824575,n01833805,n01828970,n01580077,n01558993,0,1
n01632777,n03887697,n07734744,n13133613,n12144580,1,1
n04372370,n03196217,n03761084,n02910353,n03075370,1,1
